county_fips,site,site_code,sex,title,rate,ci_lo,ci_hi,avg_annual_count,count_raw,trend,status
12125,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",1215.0,1144.9,1288.5,237.0,237,stable,ok
48373,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",683.8,651.9,716.9,440.0,440,stable,ok
31117,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",677.0,377.1,1145.8,4.0,4,*,small_numbers
46041,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",649.8,543.8,769.7,29.0,29,stable,ok
21023,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",621.8,555.0,695.0,68.0,68,stable,ok
28119,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",621.8,544.9,707.3,51.0,51,rising,ok
48229,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",618.8,497.9,761.1,19.0,19,rising,ok
21237,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",615.5,542.3,696.5,57.0,57,stable,ok
27087,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",608.7,525.6,701.9,42.0,42,rising,ok
21057,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",606.5,531.5,690.0,55.0,55,stable,ok
27155,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",606.0,508.7,718.7,33.0,33,stable,ok
51640,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",605.2,530.9,687.5,51.0,51,stable,ok
46049,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",604.7,482.5,751.5,20.0,20,rising,ok
17003,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",603.7,525.9,691.2,52.0,52,stable,ok
13053,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",601.3,496.9,719.5,25.0,25,stable,ok
21139,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",598.4,537.9,664.6,82.0,82,stable,ok
21137,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",598.0,559.1,639.1,190.0,190,rising,ok
22047,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",596.5,561.5,633.2,230.0,230,stable,ok
48011,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",595.2,459.4,761.3,16.0,16,rising,ok
21197,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",594.3,539.5,653.4,94.0,94,stable,ok
05075,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",592.8,546.7,642.0,131.0,131,stable,ok
48137,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",590.7,442.1,778.5,14.0,14,rising,small_numbers
31087,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",589.8,479.9,720.1,25.0,25,stable,ok
21121,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",588.0,553.4,624.3,227.0,227,stable,ok
21071,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",588.0,556.5,620.8,289.0,289,stable,ok
46075,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",587.5,412.3,824.7,8.0,8,stable,small_numbers
17025,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",587.0,536.9,640.8,111.0,111,stable,ok
18007,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",586.1,523.6,654.6,67.0,67,stable,ok
48433,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",585.8,427.0,789.5,11.0,11,stable,small_numbers
22023,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",585.6,505.5,675.4,42.0,42,stable,ok
29181,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",585.5,530.3,645.4,90.0,90,stable,ok
46111,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",583.5,462.8,728.1,19.0,19,stable,ok
29227,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",583.1,449.7,746.1,17.0,17,stable,ok
54073,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",582.9,517.2,655.3,61.0,61,stable,ok
54043,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",582.4,541.5,625.8,167.0,167,stable,ok
19029,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",581.9,531.4,636.4,114.0,114,rising,ok
29035,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",581.9,502.9,670.7,44.0,44,rising,ok
54045,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",581.5,549.0,615.6,270.0,270,stable,ok
21075,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",581.1,508.2,662.3,52.0,52,rising,ok
46087,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",580.3,502.3,667.7,43.0,43,stable,ok
39087,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",580.2,555.9,605.4,461.0,461,stable,ok
13227,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",580.0,548.6,613.0,294.0,294,rising,ok
21001,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",579.8,536.8,625.4,148.0,148,rising,ok
21223,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",579.7,515.2,650.6,64.0,64,rising,ok
17153,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",579.7,501.0,668.4,45.0,45,rising,ok
17129,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",579.6,528.1,635.2,102.0,102,stable,ok
21235,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",578.7,546.2,612.7,250.0,250,rising,ok
21203,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",578.7,532.6,628.0,128.0,128,rising,ok
17061,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",577.3,525.4,633.4,99.0,99,rising,ok
38079,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",575.6,515.3,641.1,72.0,72,stable,ok
54015,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",574.0,511.8,642.4,70.0,70,stable,ok
21051,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",573.2,530.8,618.4,144.0,144,stable,ok
19147,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",573.1,512.1,639.9,74.0,74,falling,ok
21065,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",572.7,523.5,625.5,111.0,111,stable,ok
21081,all,001,both,"All Cancer Sites (All Stages^), 2018-2022",572.7,532.7,614.9,164.0,164,rising,ok
