state_fips,name,rate_raw,ci_lo,ci_hi,count_raw,trend,rate,avg_annual_count,status,title,site,site_code
21000,Kentucky,519,516.2,521.8,29054,stable,519.0,29054,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
19000,Iowa,498.8,495.6,502.0,20049,rising,498.8,20049,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
54000,West Virginia,498.1,494.0,502.1,12584,rising,498.1,12584,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
22000,Louisiana,489.2,486.5,491.9,27260,stable,489.2,27260,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
27000,Minnesota,486.8,484.4,489.1,33837,stable,486.8,33837,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
23000,Maine,482.3,477.8,486.9,9809,stable,482.3,9809,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
37000,North Carolina,479,477.2,480.7,61926,stable,479.0,61926,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
34000,New Jersey,477.4,475.6,479.2,55326,falling,477.4,55326,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
09000,Connecticut,476.7,473.8,479.5,22517,stable,476.7,22517,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
05000,Arkansas,476,472.8,479.2,17980,falling,476.0,17980,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
33000,New Hampshire,473.2,468.6,477.8,9075,falling,473.2,9075,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
39000,Ohio,472.9,471.3,474.5,71356,stable,472.9,71356,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
28000,Mississippi,472.8,469.6,476.1,17197,falling,472.8,17197,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
55000,Wisconsin,472.2,469.9,474.4,35861,stable,472.2,35861,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
13000,Georgia,471.9,470.1,473.7,57143,stable,471.9,57143,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
10000,Delaware,469.9,464.6,475.4,6418,falling,469.9,6418,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
12000,Florida,467.6,466.5,468.7,144928,stable,467.6,144928,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
29000,Missouri,467.2,465.0,469.4,36330,stable,467.2,36330,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
36000,New York,467.1,465.9,468.3,117656,stable,467.1,117656,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
46000,South Dakota,465.3,459.4,471.3,5105,stable,465.3,5105,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
17000,Illinois,464.2,462.6,465.7,72068,falling,464.2,72068,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
20000,Kansas,461.2,458.0,464.5,16174,falling,461.2,16174,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
18000,Indiana,458.2,456.1,460.4,37492,falling,458.2,37492,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
47000,Tennessee,457.1,455.0,459.2,39137,falling,457.1,39137,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
40000,Oklahoma,456.7,453.9,459.5,21377,stable,456.7,21377,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
42000,Pennsylvania,456.5,455.0,458.0,79597,falling,456.5,79597,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
38000,North Dakota,453.6,447.2,460.1,4078,stable,453.6,4078,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
30000,Montana,452.7,447.6,457.8,6628,falling,452.7,6628,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
50000,Vermont,452.5,446.1,459.1,4126,stable,452.5,4126,ok,"All Cancer Sites (All Stages^), 2018-2022",all,001
