name,city,state,zip,county_fips,n_trials_hosted_2016plus,n_recruiting_now,source
Arrivent Investigative Site,Daphne,AL,36526,01003,1,0,registry_stand_in
"Brown, Pearson, Guepet Gynecology",Fairhope,AL,36532,01003,2,0,registry_stand_in
Gulf Health Hospitals Inc/Infirmary Cancer Care - Malbis,Daphne,AL,36526,01003,4,4,registry_stand_in
MorphoSys Research Site,Daphne,AL,36526,01003,1,0,registry_stand_in
NeoTX - 10307,Daphne,AL,36526,01003,1,0,registry_stand_in
Southern Cancer Center,Daphne,AL,36526,01003,8,4,registry_stand_in
"Southern Cancer Center, 29653 Anchor Cross Blvd",Daphne,AL,36526,01003,1,0,registry_stand_in
"Southern Cancer Center, P.C.",Daphne,AL,36526,01003,2,1,registry_stand_in
"Southern Cancer Center, PC",Daphne,AL,36526,01003,10,6,registry_stand_in
Southern Cancer Center PC-Daphne,Daphne,AL,36526,01003,4,0,registry_stand_in
Southern Cancer Center (SCC,Daphne,AL,36526,01003,2,2,registry_stand_in
Southern Cancer Center - USOR,Daphne,AL,36526,01003,1,0,registry_stand_in
Southern Women's Specialists PC,Fairhope,AL,36532,01003,1,0,registry_stand_in
Thomas Hospital,Fairhope,AL,36532,01003,12,7,registry_stand_in
Urology Associates,Fairhope,AL,36532,01003,1,1,registry_stand_in
USO - Southern Cancer Center,Daphne,AL,36526,01003,1,0,registry_stand_in
Pinnacle Research Group,Anniston,AL,36207,01015,1,0,registry_stand_in
"Pinnacle Research Group, Llc",Anniston,AL,36207,01015,1,0,registry_stand_in
Central Recruiting Site,Sheffield,AL,35660,01033,1,1,registry_stand_in
"Northwest Alabama Cancer Center, PC",Muscle Shoals,AL,35661,01033,2,0,registry_stand_in
Andalusia,Andalusia,AL,36420,01039,2,0,registry_stand_in
University of Alabama,Birmingham,AL,35924,01049,1,0,registry_stand_in
University of Alabama - Birmingham,Birmingham,AL,35924,01049,1,0,registry_stand_in
"Choice Research, LLC",Dothan,AL,36303,01069,3,0,registry_stand_in
Dothan Hematology and Oncology,Dothan,AL,36303,01069,1,0,registry_stand_in
Dothan Hematology & Oncology,Dothan,AL,36303,01069,1,1,registry_stand_in
XCancer/Dothan Hematology & Oncology - 1114,Dothan,AL,36303,01069,1,0,registry_stand_in
XCancer Research Network / Dothan Hematology & Oncology,Dothan,AL,36303,01069,2,2,registry_stand_in
004,Birmingham,AL,35233,01073,1,1,registry_stand_in
164,Birmingham,AL,35243,01073,1,0,registry_stand_in
826,Birmingham,AL,35294,01073,1,0,registry_stand_in
855,Birmingham,AL,35243,01073,1,0,registry_stand_in
855-A,Birmingham,AL,35211,01073,1,0,registry_stand_in
855-B,Bessemer,AL,35022,01073,1,0,registry_stand_in
855-C,Birmingham,AL,35243,01073,1,0,registry_stand_in
855-D,Birmingham,AL,35209,01073,1,0,registry_stand_in
855-F,Birmingham,AL,35235,01073,1,0,registry_stand_in
ACCEL Research Sites,Birmingham,AL,35218,01073,1,0,registry_stand_in
Alabama Clinical Therapeutics,Birmingham,AL,35235,01073,2,0,registry_stand_in
"Alabama Clinical Therapeutics, LLC",Birmingham,AL,35235,01073,2,0,registry_stand_in
Alabama Oncology,Birmingham,AL,35243,01073,11,3,registry_stand_in
"Alabama Oncology, Bessemer",Bessemer,AL,35022,01073,1,1,registry_stand_in
"Alabama Oncology, Brookwood",Birmingham,AL,35209,01073,1,1,registry_stand_in
Alabama Oncology Bruno Cancer Center,Birmingham,AL,35205,01073,2,0,registry_stand_in
"Alabama Oncology, Grandview Cancer Center",Birmingham,AL,35243,01073,1,1,registry_stand_in
"Alabama Oncology, Princeton",Birmingham,AL,35211,01073,2,2,registry_stand_in
"Alabama Oncology, St Vincent's Birmingham",Birmingham,AL,35205,01073,1,1,registry_stand_in
"Alabama Oncology, St Vincent's East",Birmingham,AL,35235,01073,1,1,registry_stand_in
Arthritis Associates,Mountain Brook,AL,35223,01073,1,0,registry_stand_in
Artiva Clinical Trial Site,Birmingham,AL,35249,01073,1,0,registry_stand_in
Ascentage,Birmingham,AL,35233,01073,1,1,registry_stand_in
Birmingham,Birmingham,AL,35205,01073,3,0,registry_stand_in
Birmingham Hematology and Oncology Associates d/b/a Alabama Oncology,Birmingham,AL,35243,01073,1,1,registry_stand_in
Birmingham Hematology and Oncology Associates LLC d/b/a Alabama Oncology,Birmingham,AL,35223,01073,1,1,registry_stand_in
Birmingham VA Medical Center,Birmingham,AL,35233,01073,1,0,registry_stand_in
"Birmingham VA Medical Center, Birmingham, AL",Birmingham,AL,35233,01073,1,0,registry_stand_in
Brookwood Medical Center,Birmingham,AL,35209,01073,1,0,registry_stand_in
Cardiovascular Associates,Birmingham,AL,35243,01073,1,0,registry_stand_in
Central Alabama Research,Birmingham,AL,35209,01073,9,5,registry_stand_in
Children's Hospital of Alabama,Birmingham,AL,35233,01073,90,26,registry_stand_in
