county_fips,cd_geoid,state_fips,cd,share
01003,0101,01,01,1.0
01031,0101,01,01,1.0
01039,0101,01,01,1.0
01045,0101,01,01,1.0
01053,0101,01,01,1.0
01061,0101,01,01,1.0
01067,0101,01,01,1.0
01069,0101,01,01,1.0
01097,0101,01,01,0.5845
01097,0102,01,02,0.4155
01005,0102,01,02,1.0
01011,0102,01,02,1.0
01013,0102,01,02,1.0
01025,0102,01,02,0.3208
01025,0107,01,07,0.6792
01035,0102,01,02,1.0
01041,0102,01,02,1.0
01087,0102,01,02,1.0
01099,0102,01,02,1.0
01101,0102,01,02,1.0
01109,0102,01,02,1.0
01113,0102,01,02,1.0
01129,0102,01,02,1.0
01015,0103,01,03,1.0
01017,0103,01,03,1.0
01019,0103,01,03,1.0
01027,0103,01,03,1.0
01029,0103,01,03,1.0
01055,0103,01,03,1.0
01081,0103,01,03,1.0
01111,0103,01,03,1.0
01115,0103,01,03,1.0
01121,0103,01,03,0.9484
01121,0106,01,06,0.0516
01123,0103,01,03,1.0
01009,0104,01,04,1.0
01033,0104,01,04,1.0
01043,0104,01,04,1.0
01049,0104,01,04,1.0
01057,0104,01,04,1.0
01059,0104,01,04,1.0
01075,0104,01,04,1.0
01077,0104,01,04,0.718
01077,0105,01,05,0.282
01093,0104,01,04,1.0
01095,0104,01,04,1.0
01125,0104,01,04,0.6224
01125,0107,01,07,0.3776
01127,0104,01,04,1.0
01133,0104,01,04,1.0
01071,0105,01,05,1.0
01079,0105,01,05,1.0
01083,0105,01,05,1.0
01089,0105,01,05,1.0
01103,0105,01,05,1.0
01001,0106,01,06,1.0
01007,0106,01,06,1.0
01021,0106,01,06,1.0
01037,0106,01,06,1.0
01051,0106,01,06,1.0
01073,0106,01,06,0.4011
01073,0107,01,07,0.5989
01117,0106,01,06,1.0
01023,0107,01,07,1.0
01047,0107,01,07,1.0
01063,0107,01,07,1.0
01065,0107,01,07,1.0
01085,0107,01,07,1.0
01091,0107,01,07,1.0
01105,0107,01,07,1.0
01107,0107,01,07,1.0
01119,0107,01,07,1.0
01131,0107,01,07,1.0
02013,0200,02,00,1.0
02016,0200,02,00,1.0
02020,0200,02,00,1.0
02050,0200,02,00,1.0
02060,0200,02,00,1.0
02063,0200,02,00,1.0
02066,0200,02,00,1.0
02068,0200,02,00,1.0
02070,0200,02,00,1.0
02090,0200,02,00,1.0
02100,0200,02,00,1.0
02105,0200,02,00,1.0
02110,0200,02,00,1.0
02122,0200,02,00,1.0
02130,0200,02,00,1.0
02150,0200,02,00,1.0
02158,0200,02,00,1.0
02164,0200,02,00,1.0
02170,0200,02,00,1.0
02180,0200,02,00,1.0
02185,0200,02,00,1.0
02188,0200,02,00,1.0
02195,0200,02,00,1.0
02198,0200,02,00,1.0
02220,0200,02,00,1.0
02230,0200,02,00,1.0
02240,0200,02,00,1.0
02275,0200,02,00,1.0
02282,0200,02,00,1.0
02290,0200,02,00,1.0
04013,0401,04,01,0.1736
04013,0402,04,02,0.0163
04013,0403,04,03,0.0224
04013,0404,04,04,0.0194
04013,0405,04,05,0.0248
04013,0407,04,07,0.3277
04013,0408,04,08,0.0625
04013,0409,04,09,0.3533
04001,0402,04,02,1.0
04005,0402,04,02,1.0
04007,0402,04,02,1.0
04009,0402,04,02,0.3645
04009,0406,04,06,0.6355
04015,0402,04,02,0.0706
04015,0409,04,09,0.9294
04017,0402,04,02,1.0
04021,0402,04,02,0.5466
04021,0405,04,05,0.0331
04021,0406,04,06,0.2531
04021,0407,04,07,0.1672
04025,0402,04,02,1.0
04003,0406,04,06,0.9295
04003,0407,04,07,0.0705
04011,0406,04,06,1.0
04019,0406,04,06,0.1939
04019,0407,04,07,0.8061
04023,0407,04,07,1.0
04027,0407,04,07,0.4394
04027,0409,04,09,0.5606
04012,0409,04,09,1.0
05001,0501,05,01,1.0
05005,0501,05,01,1.0
05009,0501,05,01,1.0
05017,0501,05,01,1.0
05021,0501,05,01,1.0
05031,0501,05,01,1.0
05035,0501,05,01,1.0
05037,0501,05,01,1.0
05041,0501,05,01,1.0
05049,0501,05,01,1.0
05055,0501,05,01,1.0
05063,0501,05,01,1.0
05065,0501,05,01,1.0
05067,0501,05,01,1.0
05075,0501,05,01,1.0
05077,0501,05,01,1.0
05079,0501,05,01,1.0
05085,0501,05,01,1.0
05089,0501,05,01,1.0
05093,0501,05,01,1.0
05095,0501,05,01,1.0
05107,0501,05,01,1.0
05111,0501,05,01,1.0
05117,0501,05,01,1.0
05119,0501,05,01,0.1546
05119,0502,05,02,0.6989
05119,0504,05,04,0.1465
05121,0501,05,01,1.0
05123,0501,05,01,1.0
05129,0501,05,01,1.0
05135,0501,05,01,1.0
05137,0501,05,01,1.0
05147,0501,05,01,1.0
05023,0502,05,02,1.0
05029,0502,05,02,1.0
05045,0502,05,02,1.0
05105,0502,05,02,1.0
05125,0502,05,02,1.0
05141,0502,05,02,1.0
05145,0502,05,02,1.0
05007,0503,05,03,1.0
05015,0503,05,03,1.0
05033,0503,05,03,1.0
05087,0503,05,03,1.0
05131,0503,05,03,0.5951
05131,0504,05,04,0.4049
05143,0503,05,03,1.0
05003,0504,05,04,1.0
05011,0504,05,04,1.0
05013,0504,05,04,1.0
05019,0504,05,04,1.0
05025,0504,05,04,1.0
05027,0504,05,04,1.0
05039,0504,05,04,1.0
05043,0504,05,04,1.0
05047,0504,05,04,1.0
05051,0504,05,04,1.0
05053,0504,05,04,1.0
05057,0504,05,04,1.0
05059,0504,05,04,1.0
05061,0504,05,04,1.0
05069,0504,05,04,1.0
05071,0504,05,04,1.0
05073,0504,05,04,1.0
05081,0504,05,04,1.0
05083,0504,05,04,1.0
05091,0504,05,04,1.0
05097,0504,05,04,1.0
05099,0504,05,04,1.0
05101,0504,05,04,1.0
05103,0504,05,04,1.0
05109,0504,05,04,1.0
05113,0504,05,04,1.0
05115,0504,05,04,1.0
05127,0504,05,04,1.0
05133,0504,05,04,1.0
05139,0504,05,04,1.0
05149,0504,05,04,1.0
06007,0601,06,01,1.0
06011,0601,06,01,1.0
06021,0601,06,01,1.0
06035,0601,06,01,1.0
06049,0601,06,01,1.0
06089,0601,06,01,1.0
06093,0601,06,01,1.0
06101,0601,06,01,1.0
06103,0601,06,01,1.0
06115,0601,06,01,0.3107
06115,0603,06,03,0.6893
06015,0602,06,02,1.0
06023,0602,06,02,1.0
06041,0602,06,02,1.0
06045,0602,06,02,1.0
06075,0602,06,02,0.0002
06075,0611,06,11,0.8865
06075,0612,06,12,0.001
06075,0615,06,15,0.1123
06097,0602,06,02,0.7982
06097,0604,06,04,0.2018
06105,0602,06,02,1.0
06003,0603,06,03,1.0
06017,0603,06,03,0.7553
06017,0605,06,05,0.2447
06027,0603,06,03,1.0
06051,0603,06,03,1.0
06057,0603,06,03,1.0
06061,0603,06,03,1.0
06063,0603,06,03,1.0
06067,0603,06,03,0.0887
06067,0606,06,06,0.2606
06067,0607,06,07,0.6507
06091,0603,06,03,1.0
06033,0604,06,04,1.0
06055,0604,06,04,1.0
06095,0604,06,04,0.5829
06095,0607,06,07,0.0195
06095,0608,06,08,0.3976
