county_fips,pop55
01001,17356
01003,85844
01005,8170
01007,6770
01009,19174
01011,3192
01013,6509
01015,36094
01017,11913
01019,10003
01021,13754
01023,4987
01025,7966
01027,5086
01029,5253
01031,15886
01033,19675
01035,4493
01037,4399
01039,13555
01041,4489
01043,29150
01045,15259
01047,12821
01049,21900
01051,26315
01053,11693
01055,34025
01057,5777
01059,9553
01061,9332
01063,2998
01065,5002
01067,6477
01069,34046
01071,18600
01073,193508
01075,4992
01077,31857
01079,11191
01081,42806
01083,31430
01085,3542
01087,6438
01089,116895
01091,6502
01093,10322
01095,29463
01097,123874
01099,7036
01101,63977
01103,39107
01105,2811
01107,6444
01109,8684
01111,7950
01113,16727
01115,28867
01117,66083
01119,3827
01121,26828
01123,15600
01125,57345
01127,21808
01129,5604
01131,3575
01133,8819
02013,933
02016,1060
02020,69610
02050,3507
02060,297
02063,2013
02066,1012
02068,487
02070,1191
02090,21617
02100,924
02105,1015
02110,9364
02122,20219
02130,4414
02150,3318
02158,1298
02164,214
02170,28763
02180,1825
02185,2336
02188,1413
02195,1309
02198,2117
02220,2665
02230,392
02240,1974
02275,782
02282,216
02290,1597
04001,19211
04003,46567
04005,36304
04007,24657
04009,9461
04011,2364
04012,9006
04013,1246376
04015,104784
04017,35468
04019,349554
04021,148058
04023,14814
04025,120697
04027,62334
05001,5723
05003,6596
05005,19391
05007,71660
05009,13042
05011,3192
05013,1789
05015,10844
05017,3601
05019,5848
05021,5150
05023,10809
05025,2709
05027,6556
05029,7217
05031,27654
05033,18802
05035,13011
05037,5325
05039,2532
05041,3691
05043,5263
05045,30899
05047,5890
05049,5141
05051,38659
05053,5853
05055,13059
05057,6419
05059,11061
05061,3962
05063,11696
05065,5577
05067,5146
05069,20777
05071,7970
05073,2589
05075,5317
05077,2800
05079,3460
05081,4176
05083,7526
05085,19900
05087,5740
05089,7908
05091,12717
05093,11271
05095,2612
05097,3807
05099,2920
05101,3086
05103,8055
05105,3562
05107,5405
05109,3458
05111,7208
05113,7247
05115,18283
05117,3134
05119,114103
05121,6106
05123,6885
05125,38566
05127,3547
05129,3273
05131,37886
05133,4135
05135,7175
05137,5405
05139,12381
05141,6897
05143,55905
05145,23037
05147,2346
05149,6513
06001,448404
06003,649
06005,17755
06007,62581
06009,21179
06011,5936
06013,346627
06015,9194
06017,74722
06019,233801
06021,8233
06023,42652
06025,42395
06027,7352
06029,200278
06031,30636
06033,26118
06035,8522
06037,2666119
06039,39902
06041,98989
06043,7871
06045,33919
06047,61811
06049,3836
06051,4274
06053,111128
06055,46416
06057,45555
06059,912728
06061,137511
06063,9304
06065,657706
06067,426644
06069,16751
06071,516445
06073,881580
06075,244121
06077,192662
06079,96855
06081,226333
06083,121401
06085,504615
06087,83337
06089,63733
06091,1432
06093,18387
06095,135161
06097,169546
06099,136600
06101,27821
06103,22077
06105,7886
06107,103252
06109,23280
06111,252868
06113,51162
06115,19995
08001,113895
08003,4170
08005,168856
08007,6326
08009,1342
08011,1715
08013,91804
08014,20085
08015,8206
08017,621
08019,3754
08021,2537
08023,1592
08025,1452
08027,2832
08029,13440
08031,155586
08033,1249
08035,96465
08037,14884
08039,9617
08041,185219
08043,18226
08045,16469
08047,2471
08049,5914
08051,4456
08053,460
08055,3484
08057,639
08059,180017
08061,543
08063,2330
08065,1660
08067,19345
08069,103660
08071,5801
08073,1725
08075,6674
08077,53209
08079,384
08081,3964
08083,10120
08085,17122
08087,8274
08089,6303
08091,2552
08093,7753
08095,1345
08097,6348
08099,3712
08101,54638
08103,2091
08105,4107
08107,8126
08109,2873
08111,254
08113,2573
08115,955
08117,8832
08119,10966
08121,1717
08123,80770
08125,2954
09001,297730
09003,278589
09005,71627
09007,61817
09009,279557
09011,92957
09013,47895
09015,38906
10001,56918
10003,172703
10005,113863
11001,151648
12001,70793
12003,7533
12005,59883
12007,8714
12009,250536
12011,611136
12013,4366
12015,112729
12017,83424
12019,68546
12021,184816
12023,23852
12027,12352
12029,6600
12031,277498
12033,100062
12035,57446
12037,5267
12039,14677
12041,6519
12043,4806
12045,5796
12047,4484
12049,6971
12051,10118
12053,82855
12055,51016
12057,402343
12059,6669
12061,81928
12063,16138
12065,5879
12067,2622
12069,160652
12071,342197
12073,73011
12075,17935
12077,2076
12079,6693
12081,179393
12083,164928
12085,76237
12086,807308
12087,33745
12089,36777
12091,63338
12093,13470
12095,349679
12097,100012
12099,574731
12101,209045
12103,403417
12105,240842
12107,28923
12109,102186
12111,133504
12113,58996
12115,237521
12117,138284
12119,98781
12121,15996
12123,7471
12125,4776
12127,229096
12129,10628
12131,28659
12133,8286
13001,5779
13003,2210
13005,3169
13007,1102
13009,12904
13011,6084
13013,21193
13015,31013
13017,5353
13019,5669
13021,44819
13023,3857
13025,5657
13027,5879
13029,9729
13031,18039
13033,7546
13035,7464
13037,1615
13039,14775
13043,3390
13045,31395
13047,21484
13049,3399
13051,84793
13053,775
13055,7876
13057,77933
13059,27184
13061,1239
13063,64932
13065,1992
13067,196490
13069,11292
13071,12682
13073,42263
13075,5053
13077,42487
13079,4385
13081,6633
13083,5627
13085,9787
13087,8779
13089,190926
13091,6595
13093,4094
13095,24587
13097,35756
13099,3531
13101,865
13103,16406
13105,6887
13107,6590
13109,3073
13111,12377
13113,41196
13115,28884
13117,62523
13119,7764
13121,254771
13123,13746
13125,958
13127,30604
13129,16532
13131,8317
13133,9213
13135,220426
13137,14832
13139,59037
13141,3472
13143,8901
13145,12050
13147,9767
13149,3664
13151,60941
13153,42761
13155,2783
13157,21488
13159,4940
13161,4204
13163,4986
13165,3284
13167,3055
13169,9066
13171,5771
13173,2778
13175,15212
13177,8434
13179,12381
13181,3247
13183,3654
13185,27414
13187,10628
13189,7055
13191,5114
13193,3853
13195,9552
13197,2859
13199,7434
13201,2106
13205,6714
13207,9552
13209,2694
13211,7133
13213,11478
13215,52752
13217,29374
13219,12238
13221,5103
13223,40755
13225,8574
13227,13137
13229,5829
13231,5756
13233,12238
13235,3588
13237,9071
13239,1132
13241,7499
13243,2245
13245,56050
13247,27818
13249,1290
13251,5004
13253,3583
13255,21344
13257,9204
13259,1325
13261,8593
13263,2579
13265,648
13267,6705
13269,2863
13271,3777
13273,3088
13275,14706
13277,11421
13279,7751
13281,6658
13283,2071
13285,19817
13287,2819
13289,3231
13291,13068
13293,9104
13295,22291
13297,28915
13299,10630
13301,1999
13303,6523
13305,8743
13307,712
13309,1989
13311,10775
13313,27325
13315,2764
13317,3716
13319,3171
13321,7159
15001,75788
15003,311899
15005,16
15007,26009
15009,56201
16001,140659
16003,2226
16005,22824
16007,2188
16009,3915
16011,12704
16013,9328
16015,3833
16017,20863
16019,30230
16021,4696
16023,946
16025,287
16027,61108
16029,2112
16031,6171
16033,158
16035,4029
16037,2492
16039,7415
16041,3641
16043,4209
16045,7352
16047,4719
16049,7623
16051,7139
16053,6143
16055,58659
16057,9900
16059,3815
16061,1594
16063,1455
16065,5086
16067,5919
16069,14531
16071,1503
16073,3917
16075,8289
16077,2221
16079,5246
16081,3195
16083,25418
16085,5125
16087,4236
17001,22217
17003,2041
17005,5337
17007,15798
17009,1824
17011,12284
17013,1808
17015,5965
17017,3948
17019,48538
17021,11684
17023,5270
17025,4586
17027,12273
17029,14461
17031,1443548
17033,6261
17035,3613
17037,24631
17039,5513
17041,6185
17043,283160
17045,6459
17047,2229
17049,11223
17051,6999
17053,4520
17055,13016
17057,11747
17059,1948
17061,4264
17063,14662
17065,2869
17067,6901
17069,1812
17071,2741
17073,17319
17075,10002
17077,14418
17079,3354
17081,12234
17083,7602
17085,9870
17087,4689
17089,143974
17091,32674
17093,28709
17095,17627
17097,204862
17099,37439
17101,4759
17103,12075
17105,12256
17107,8932
17109,8375
17111,95016
17113,43815
17115,35000
17117,16298
17119,84451
17121,12603
17123,4551
17125,4916
17127,5139
17129,4344
17131,5701
17133,11975
17135,9926
17137,11462
17139,4697
17141,17492
17143,54168
17145,6877
17147,5879
17149,5165
17151,1698
17153,1886
17155,2240
17157,10718
17159,5454
17161,47254
17163,77746
17165,8559
17167,64022
17169,2861
17171,1783
17173,8027
17175,1978
17177,17053
17179,43046
17181,6153
17183,24707
17185,4045
17187,5458
17189,5030
17191,5797
17193,5195
17195,19759
17197,189250
17199,22175
17201,89395
17203,12500
18001,9866
18003,105256
18005,23567
18007,2748
18009,4358
18011,19624
18013,6878
18015,7130
18017,12228
18019,36436
18021,8524
18023,9547
18025,3907
18027,9171
18029,17057
18031,8296
18033,13317
18035,33037
18037,14394
18039,55293
18041,8046
18043,24824
18045,5636
18047,7883
18049,6980
18051,10427
18053,21747
18055,10801
18057,90563
18059,24929
18061,13442
18063,48272
18065,16370
18067,27781
18069,12052
18071,13473
18073,10760
18075,6374
18077,11013
18079,8504
18081,45210
18083,11525
18085,25092
18087,10223
18089,153668
18091,36825
18093,15719
18095,41849
18097,236556
18099,14746
18101,3490
18103,11117
18105,34255
18107,12471
18109,23758
18111,4933
18113,14513
18115,2381
18117,6856
18119,8025
18121,5720
18123,6371
18125,4362
18127,54473
18129,8923
18131,4409
18133,11446
18135,8366
18137,9406
18139,5744
18141,77775
18143,7617
18145,14736
18147,7117
18149,7981
18151,12589
18153,6634
18155,3258
18157,40058
18159,5548
18161,2528
18163,55800
18165,5236
18167,30558
18169,10961
18171,3033
18173,20536
18175,9270
18177,21879
18179,9017
18181,8667
18183,11274
19001,2788
19003,1494
19005,5227
19007,4631
19009,2309
19011,8949
19013,37686
19015,9130
19017,7922
19019,6649
19021,5830
19023,5251
19025,3645
19027,7295
19029,4967
19031,6648
19033,16238
19035,4567
19037,4446
19039,3147
19041,5856
19043,6881
19045,16235
19047,5126
19049,23637
19051,2763
19053,2527
19055,6537
19057,13494
19059,7550
19061,31864
19063,3562
19065,7332
19067,5791
19069,3543
19071,2582
19073,3394
19075,4275
19077,4164
19079,5245
19081,4133
19083,6443
19085,5143
19087,6721
19089,3258
19091,3425
19093,2557
19095,5812
19097,7354
19099,12598
19101,6010
19103,34825
19105,7502
19107,3629
19109,5836
19111,12138
19113,67751
19115,3728
19117,3253
19119,3714
19121,5327
19123,7076
19125,10878
19127,12611
19129,4995
19131,3835
19133,3329
19135,2618
19137,3828
19139,13296
19141,4783
19143,2342
19145,5760
19147,3181
19149,8473
19151,2794
19153,125638
19155,30068
19157,6363
19159,1803
19161,3818
19163,52373
19165,4564
19167,9600
19169,21667
19171,5948
19173,2157
19175,4090
19177,2765
19179,11056
19181,15534
19183,7466
19185,2401
19187,12191
19189,3774
19191,7459
19193,28927
19195,2748
19197,4586
20001,4412
20003,2685
20005,4948
20007,1544
20009,8738
20011,4747
20013,3400
20015,19645
20017,969
20019,1329
20021,6762
20023,1048
20025,784
20027,3030
20029,3045
20031,3073
20033,786
20035,10840
20037,10675
20039,1270
20041,6545
20043,2489
20045,27827
20047,1075
20049,1081
20051,7547
20053,2369
20055,8471
20057,7597
20059,8353
20061,5190
20063,1053
20065,1010
20067,1846
20069,1595
20071,399
20073,2499
20075,602
20077,1933
20079,11297
20081,1085
20083,696
20085,4428
20087,6603
20089,1320
20091,170213
20093,1114
20095,2620
20097,849
20099,6939
20101,580
20103,23198
20105,1190
20107,3735
20109,960
20111,8771
20113,9820
20115,4540
20117,3721
20119,1164
20121,11237
20123,2132
20125,10691
20127,2318
20129,892
20131,3384
20133,5295
20135,1102
20137,1817
20139,5703
20141,1477
20143,2060
20145,2352
20147,1936
20149,7018
20151,3063
20153,1059
