state,place,geoid,lat,lon
AL,abanda,0100100,33.091627,-85.527029
AL,abbeville,0100124,31.564706,-85.259121
AL,adamsville,0100460,33.602315,-86.971527
AL,addison,0100484,34.202681,-87.178004
AL,akron,0100676,32.879066,-87.740899
AL,alabaster,0100820,33.214355,-86.82308
AL,albertville,0100988,34.26313,-86.21066
AL,alexander city,0101132,32.916719,-85.940589
AL,alexandria,0101180,33.760819,-85.872008
AL,aliceville,0101228,33.123706,-88.159344
AL,allgood,0101396,33.907623,-86.516109
AL,altoona,0101660,34.040014,-86.305179
AL,andalusia,0101708,31.309436,-86.478031
AL,anderson,0101756,34.915675,-87.274274
AL,anniston,0101852,33.673469,-85.810891
AL,arab,0102116,34.332387,-86.501167
AL,ardmore,0102260,34.987838,-86.829022
AL,argo,0102320,33.691018,-86.505281
AL,ariton,0102428,31.597772,-85.713061
AL,arley,0102500,34.076234,-87.217831
AL,ashford,0102836,31.185284,-85.236236
AL,ashland,0102860,33.269892,-85.833706
AL,ashville,0102908,33.835197,-86.270015
AL,athens,0102956,34.779021,-86.950799
AL,atmore,0103004,31.124067,-87.457798
AL,attalla,0103028,33.986189,-86.121037
AL,auburn,0103076,32.607806,-85.494746
AL,autaugaville,0103220,32.432563,-86.658752
AL,avon,0103364,31.179727,-85.279211
AL,axis,0103508,30.922171,-88.02262
AL,babbie,0103556,31.302083,-86.319437
AL,baileyton,0103676,34.260858,-86.608788
AL,bakerhill,0103724,31.776923,-85.295408
AL,ballplay,0103820,34.023047,-85.801478
AL,banks,0103940,31.813264,-85.836434
AL,bay minette,0104660,30.894436,-87.791306
AL,bayou la batre,0104684,30.407586,-88.263271
AL,bear creek,0104852,34.255481,-87.713399
AL,beatrice,0104900,31.733309,-87.209046
AL,beaverton,0104948,33.935411,-88.021778
AL,belgreen,0105140,34.47454,-87.861678
AL,belk,0105164,33.651641,-87.92861
AL,bellamy,0105188,32.463658,-88.131481
AL,belle fontaine,0105212,30.489492,-88.10594
AL,benton,0105692,32.307931,-86.817546
AL,berlin,0105812,34.185005,-86.748955
AL,berry,0105932,33.666702,-87.609311
AL,bessemer,0105980,33.370858,-86.971522
AL,billingsley,0106460,32.664711,-86.706713
AL,birmingham,0107000,33.527174,-86.797036
AL,black,0107120,31.00977,-85.74442
AL,blountsville,0107456,34.075838,-86.583918
AL,blue ridge,0107588,32.4989,-86.182436
AL,blue springs,0107672,31.663516,-85.503526
AL,boaz,0107912,34.19902,-86.155151
AL,boligee,0108104,32.768081,-88.02859
AL,bon air,0108248,33.259355,-86.327175
AL,bon secour,0108272,30.318246,-87.72439
AL,boykin,0108680,32.068375,-87.294343
AL,brantley,0109016,31.581992,-86.256784
AL,brantleyville,0109064,33.219303,-86.882522
AL,brent,0109136,32.944893,-87.172088
AL,brewton,0109208,31.109175,-87.076583
AL,bridgeport,0109328,34.949312,-85.723765
AL,brighton,0109400,33.439551,-86.945404
AL,brilliant,0109424,34.025671,-87.769047
AL,bristow cove,0109457,34.109216,-86.240993
AL,brook highland,0109500,33.438035,-86.685262
AL,brookside,0109736,33.634617,-86.906314
AL,brookwood,0109808,33.239842,-87.331488
AL,broomtown,0109880,34.365728,-85.532112
AL,brundidge,0110240,31.717639,-85.81755
AL,bucks,0110456,31.016881,-88.026385
AL,butler,0111032,32.096479,-88.210781
AL,calera,0111416,33.122319,-86.745644
AL,calvert,0111488,31.149898,-88.021549
AL,camden,0111512,31.998493,-87.28895
AL,camp hill,0111680,32.797327,-85.655833
AL,carbon hill,0112016,33.894991,-87.522078
AL,cardiff,0112040,33.64729,-86.930637
AL,carlisle-rockledge,0112070,34.114451,-86.124073
AL,carlton,0112112,31.348571,-87.835666
AL,carolina,0112160,31.23415,-86.521001
AL,carrollton,0112304,33.261903,-88.095071
AL,castleberry,0112496,31.299678,-87.029129
AL,catherine,0112544,32.18617,-87.469978
AL,cedar bluff,0112760,34.221422,-85.588565
AL,center point,0113264,33.643903,-86.684567
AL,centre,0113648,34.153059,-85.671683
AL,centreville,0113672,32.958967,-87.132043
AL,chatom,0114008,31.469145,-88.246019
AL,chelsea,0114104,33.309007,-86.635139
AL,cherokee,0114152,34.7577,-87.965589
AL,cherokee ridge,0114202,34.420931,-86.563316
AL,chickasaw,0114392,30.77145,-88.079697
AL,childersburg,0114464,33.292558,-86.340864
AL,choccolocco,0114728,33.667728,-85.707191
AL,chunchula,0114968,30.927194,-88.2082
AL,citronelle,0115064,31.097269,-88.249843
AL,clanton,0115136,32.845572,-86.619494
