name,city,state,tier,lat,lon,coord_source
O'Neal Comprehensive Cancer Center (UAB),birmingham,AL,Comprehensive,33.5272,-86.797,gazetteer_place_centroid
University of Arizona Cancer Center,tucson,AZ,Comprehensive,32.153,-110.8708,gazetteer_place_centroid
Mayo Clinic Cancer Center – Phoenix,phoenix,AZ,Comprehensive,33.5722,-112.0901,gazetteer_place_centroid
Chao Family Comprehensive Cancer Center (UC Irvine),orange,CA,Comprehensive,33.787,-117.8613,gazetteer_place_centroid
City of Hope,duarte,CA,Comprehensive,34.161,-117.9504,gazetteer_place_centroid
Jonsson Comprehensive Cancer Center (UCLA),los angeles,CA,Comprehensive,34.0194,-118.4108,gazetteer_place_centroid
Stanford Cancer Institute,stanford,CA,Comprehensive,37.433,-122.175,override
UC Davis Comprehensive Cancer Center,sacramento,CA,Comprehensive,38.5677,-121.4682,gazetteer_place_centroid
Moores Comprehensive Cancer Center (UCSD),la jolla,CA,Comprehensive,32.875,-117.236,override
UCSF Helen Diller Family Comprehensive Cancer Center,san francisco,CA,Comprehensive,37.763,-122.458,override
USC Norris Comprehensive Cancer Center,los angeles,CA,Comprehensive,34.0194,-118.4108,gazetteer_place_centroid
University of Colorado Cancer Center,aurora,CO,Comprehensive,39.7095,-104.7205,gazetteer_place_centroid
Yale Cancer Center,new haven,CT,Comprehensive,41.3108,-72.925,gazetteer_place_centroid
Georgetown Lombardi Comprehensive Cancer Center,washington,DC,Comprehensive,38.9042,-77.0165,gazetteer_place_centroid
Mayo Clinic Cancer Center – Jacksonville,jacksonville,FL,Comprehensive,30.3369,-81.6616,gazetteer_place_centroid
Sylvester Comprehensive Cancer Center (Miami),miami,FL,Clinical,25.7752,-80.2086,gazetteer_place_centroid
Moffitt Cancer Center,tampa,FL,Comprehensive,27.9701,-82.4797,gazetteer_place_centroid
University of Florida Health Cancer Institute,gainesville,FL,Clinical,29.6795,-82.3468,gazetteer_place_centroid
Winship Cancer Institute (Emory),atlanta,GA,Comprehensive,33.7629,-84.4227,gazetteer_place_centroid
University of Hawai'i Cancer Center,urban honolulu,HI,Clinical,21.3,-157.85,override
Robert H. Lurie Comprehensive Cancer Center (Northwestern),chicago,IL,Comprehensive,41.837,-87.6849,gazetteer_place_centroid
University of Chicago Comprehensive Cancer Center,chicago,IL,Comprehensive,41.837,-87.6849,gazetteer_place_centroid
IU Simon Comprehensive Cancer Center,indianapolis city,IN,Comprehensive,39.7767,-86.1459,gazetteer_place_centroid
Holden Comprehensive Cancer Center (Iowa),iowa city,IA,Comprehensive,41.6557,-91.5309,gazetteer_place_centroid
University of Kansas Cancer Center,kansas city,KS,Comprehensive,39.1225,-94.7418,gazetteer_place_centroid
Markey Cancer Center (Kentucky),lexington-fayette,KY,Comprehensive,38.032,-84.508,override
Sidney Kimmel Comprehensive Cancer Center (Johns Hopkins),baltimore,MD,Comprehensive,39.3,-76.6105,gazetteer_place_centroid
UM Greenebaum Comprehensive Cancer Center,baltimore,MD,Comprehensive,39.3,-76.6105,gazetteer_place_centroid
Dana-Farber/Harvard Cancer Center,boston,MA,Comprehensive,42.3386,-71.0183,gazetteer_place_centroid
Karmanos Cancer Institute (Wayne State),detroit,MI,Comprehensive,42.383,-83.1022,gazetteer_place_centroid
University of Michigan Rogel Cancer Center,ann arbor,MI,Comprehensive,42.2761,-83.7309,gazetteer_place_centroid
