tract,cd_geoid,share
01003010100,0101,1.0
01003010200,0101,1.0
01003010300,0101,1.0
01003010400,0101,1.0
01003010500,0101,1.0
01003010600,0101,1.0
01003010704,0101,1.0
01003010706,0101,1.0
01003010707,0101,1.0
01003010708,0101,1.0
01003010709,0101,1.0
01003010710,0101,1.0
01003010711,0101,1.0
01003010800,0101,1.0
01003010903,0101,1.0
01003010904,0101,1.0
01003010906,0101,1.0
01003010907,0101,1.0
01003010908,0101,1.0
01003011000,0101,1.0
01003011102,0101,1.0
01003011103,0101,1.0
01003011104,0101,1.0
01003011201,0101,1.0
01003011202,0101,1.0
01003011300,0101,1.0
01003011409,0101,1.0
01003011410,0101,1.0
01003011411,0101,1.0
01003011412,0101,1.0
01003011413,0101,1.0
01003011414,0101,1.0
01003011415,0101,1.0
01003011416,0101,1.0
01003011417,0101,1.0
01003011418,0101,1.0
01003011419,0101,1.0
01003011501,0101,1.0
01003011503,0101,1.0
01003011504,0101,1.0
01003011601,0101,1.0
01003011603,0101,1.0
01003011604,0101,1.0
01003990000,0101,1.0
01031010100,0101,1.0
01031010200,0101,1.0
01031010300,0101,1.0
01031010400,0101,1.0
01031010500,0101,1.0
01031010600,0101,1.0
01031010700,0101,1.0
01031010800,0101,1.0
01031010900,0101,1.0
01031011000,0101,1.0
01031011100,0101,1.0
01031011203,0101,1.0
01031011204,0101,1.0
01031011205,0101,1.0
01031011206,0101,1.0
01031011300,0101,1.0
01039961600,0101,1.0
01039961700,0101,1.0
01039961800,0101,1.0
01039961900,0101,1.0
01039962000,0101,1.0
01039962100,0101,1.0
01039962300,0101,1.0
01039962400,0101,1.0
01039962500,0101,1.0
01039962600,0101,1.0
01039962700,0101,1.0
01039962800,0101,1.0
01039962900,0101,1.0
01039963000,0101,1.0
01045020000,0101,1.0
01045020100,0101,1.0
01045020200,0101,1.0
01045020300,0101,1.0
01045020400,0101,1.0
01045020500,0101,1.0
01045020700,0101,1.0
01045020801,0101,1.0
01045020802,0101,1.0
01045021101,0101,1.0
01045021102,0101,1.0
01045021200,0101,1.0
01045021300,0101,1.0
01045021400,0101,1.0
01053969801,0101,1.0
01053969802,0101,1.0
01053969900,0101,1.0
01053970100,0101,1.0
01053970200,0101,1.0
01053970300,0101,1.0
01053970400,0101,1.0
01053970500,0101,1.0
01053970600,0101,1.0
01053970700,0101,1.0
01061050100,0101,1.0
01061050200,0101,1.0
01061050300,0101,1.0
01061050400,0101,1.0
01061050500,0101,1.0
01061050600,0101,1.0
01067030100,0101,1.0
01067030200,0101,1.0
01067030300,0101,1.0
01067030400,0101,1.0
01067030500,0101,1.0
01067030600,0101,1.0
01069040100,0101,1.0
01069040203,0101,1.0
01069040204,0101,1.0
01069040205,0101,1.0
01069040206,0101,1.0
01069040301,0101,1.0
01069040302,0101,1.0
01069040400,0101,1.0
01069040500,0101,1.0
01069040600,0101,1.0
01069040700,0101,1.0
01069040801,0101,1.0
01069040802,0101,1.0
01069040900,0101,1.0
01069041000,0101,1.0
01069041100,0101,1.0
01069041200,0101,1.0
01069041400,0101,1.0
01069041500,0101,1.0
01069041600,0101,1.0
01069041700,0101,1.0
01069041800,0101,1.0
01069041901,0101,1.0
01069041902,0101,1.0
01069042000,0101,1.0
01069042100,0101,1.0
01097001200,0101,0.31643476429420886
01097001800,0101,1.0
01097001901,0101,1.0
01097001902,0101,1.0
01097002000,0101,1.0
01097003000,0101,0.0
01097003800,0101,0.8553881236335507
01097005400,0101,0.9905293070498506
01097005500,0101,1.0
01097005601,0101,1.0
01097005602,0101,1.0
01097005701,0101,1.0
01097005702,0101,1.0
01097005800,0101,0.9981937266927371
01097005900,0101,0.19740664261958618
01097006000,0101,0.0001527250659003991
01097006104,0101,0.09852251554426977
01097006106,0101,0.7445744045685228
01097006107,0101,0.5137093294532658
01097006303,0101,0.5047346840902238
01097006306,0101,0.10276695645087852
01097006402,0101,0.2773541833636018
01097006403,0101,0.9212077322691631
01097006407,0101,1.0
01097006408,0101,0.752070393719715
01097006409,0101,0.8343357442411086
01097006410,0101,0.24998274700156783
01097006412,0101,1.0
01097006413,0101,1.0
01097006501,0101,1.0
01097006503,0101,1.0
01097006504,0101,1.0
01097006505,0101,1.0
01097006600,0101,1.0
01097006702,0101,1.0
01097006703,0101,1.0
01097006704,0101,1.0
01097006802,0101,0.2569651741093528
01097006803,0101,1.0
01097006804,0101,1.0
01097006903,0101,1.0
01097006904,0101,1.0
01097007000,0101,1.0
01097007101,0101,1.0
01097007102,0101,1.0
01097007103,0101,1.0
01097007201,0101,1.0
01097007203,0101,1.0
01097007204,0101,1.0
01097007300,0101,1.0
01097007400,0101,0.9987079297900854
01097990000,0101,1.0
01005950100,0102,1.0
01005950200,0102,1.0
01005950300,0102,1.0
01005950400,0102,1.0
01005950500,0102,1.0
01005950600,0102,1.0
01005950700,0102,1.0
01005950800,0102,1.0
01005950900,0102,1.0
01011952100,0102,1.0
01011952201,0102,1.0
01011952202,0102,1.0
01011952500,0102,1.0
01013952700,0102,1.0
01013952800,0102,1.0
01013952900,0102,1.0
01013953000,0102,1.0
01013953100,0102,1.0
01013953200,0102,1.0
01013953300,0102,1.0
01013953400,0102,1.0
01013953500,0102,1.0
01025957500,0102,0.07906889821210995
01025957800,0102,0.44548276659399527
01025957901,0102,0.008519588939514872
01025957902,0102,0.7216947653845438
01025958003,0102,0.9461452732786326
01035960200,0102,1.0
01035960300,0102,1.0
01035960400,0102,1.0
01035960500,0102,1.0
01035960600,0102,1.0
01041963400,0102,1.0
01041963500,0102,1.0
01041963600,0102,1.0
01041963700,0102,1.0
01041963800,0102,1.0
01041963900,0102,1.0
01087231400,0102,1.0
01087231500,0102,1.0
01087231601,0102,1.0
01087231602,0102,1.0
01087231603,0102,1.0
01087231700,0102,1.0
01087231800,0102,1.0
01087231900,0102,1.0
01087232000,0102,1.0
01087232100,0102,1.0
01087232200,0102,1.0
01087232300,0102,1.0
01097000200,0102,1.0
01097000401,0102,1.0
01097000402,0102,1.0
01097000500,0102,1.0
01097000600,0102,1.0
01097000701,0102,1.0
01097000702,0102,1.0
01097000801,0102,1.0
01097000802,0102,1.0
01097000901,0102,1.0
01097000902,0102,1.0
01097000903,0102,1.0
01097001001,0102,1.0
01097001002,0102,1.0
01097001100,0102,1.0
01097001200,0102,0.6835652357057911
01097001302,0102,1.0
01097001400,0102,1.0
01097001501,0102,1.0
01097001502,0102,1.0
01097002100,0102,1.0
01097002200,0102,1.0
01097002301,0102,1.0
01097002302,0102,1.0
01097002400,0102,1.0
01097002501,0102,1.0
01097002502,0102,1.0
01097002600,0102,1.0
01097002700,0102,1.0
01097002800,0102,1.0
01097002900,0102,1.0
01097003000,0102,1.0
01097003100,0102,1.0
01097003202,0102,1.0
01097003203,0102,1.0
01097003205,0102,1.0
01097003206,0102,1.0
01097003207,0102,1.0
01097003301,0102,1.0
