tract_acs,pop55
01001020100,597
01001020200,502
01001020300,1069
01001020400,1575
01001020501,1302
01001020502,731
01001020503,925
01001020600,1006
01001020700,774
01001020801,1112
01001020803,1534
01001020804,1210
01001020805,862
01001020901,777
01001020902,1087
01001021000,695
01001021100,1598
01003010100,1254
01003010200,964
01003010300,2619
01003010400,2162
01003010500,1481
01003010600,1081
01003010704,1390
01003010706,1133
01003010707,1973
01003010708,2366
01003010709,2528
01003010710,2044
01003010711,1420
01003010800,2961
01003010903,1484
01003010904,3057
01003010906,1644
01003010907,1199
01003010908,1276
01003011000,1694
01003011102,1886
01003011103,1571
01003011104,2777
01003011201,2115
01003011202,3468
01003011300,2965
01003011409,1844
01003011410,3271
01003011411,2805
01003011412,1035
01003011413,1671
01003011414,1468
01003011415,1493
01003011416,1053
01003011417,783
01003011418,919
01003011419,2788
01003011501,3518
01003011503,3171
01003011504,3501
01003011601,2501
01003011603,1613
01003011604,1898
01003990000,0
01005950100,1121
01005950200,1047
01005950300,525
01005950400,1102
01005950500,1355
01005950600,452
01005950700,665
01005950800,818
01005950900,1085
01007010001,879
01007010005,1065
01007010006,313
01007010007,815
01007010008,1185
01007010009,699
01007010010,838
01007010011,976
01009050103,630
01009050104,1079
01009050105,1833
01009050106,890
01009050107,1052
01009050200,1220
01009050301,858
01009050302,1138
01009050400,1606
01009050501,979
01009050502,1092
01009050601,1130
01009050603,775
01009050604,1724
01009050701,2212
01009050702,956
01011952100,409
01011952201,625
01011952202,1295
01011952500,863
01013952700,967
01013952800,448
01013952900,627
01013953000,376
01013953100,891
01013953200,1067
01013953300,721
01013953400,825
01013953500,587
01015000200,571
01015000300,798
01015000400,1211
01015000500,485
01015000600,502
01015000700,835
01015000800,580
01015000900,1655
01015001000,2032
01015001101,509
01015001102,128
01015001103,1686
01015001201,831
01015001202,1187
01015001300,534
01015001400,1106
01015001501,1092
01015001502,478
01015001600,1250
01015001700,1508
01015001801,625
01015001802,1416
01015002001,660
01015002002,1572
01015002101,461
01015002102,1158
01015002104,1059
01015002105,954
01015002200,1437
01015002300,933
01015002400,1632
01015002502,1526
01015002503,1154
01015002504,848
01015002600,1681
01015981901,0
01015981902,0
01015981903,0
01017953800,1639
01017953900,1067
01017954001,764
01017954002,1914
01017954200,1403
01017954300,1490
01017954600,989
01017954700,1086
01017954800,1561
01019955701,1413
01019955702,1358
01019955801,688
01019955802,1142
01019955900,1464
01019956000,2258
01019956101,802
01019956102,878
01021060101,1269
01021060103,1017
01021060104,1064
01021060200,678
01021060300,1071
01021060401,1645
01021060403,749
01021060404,1469
01021060500,1255
01021060600,1706
01021060701,724
01021060702,1107
01023956700,1252
01023956800,1703
01023956900,1277
01023957000,755
01025957500,671
01025957601,265
01025957603,534
01025957604,668
01025957700,566
01025957800,1742
01025957901,1113
01025957902,1459
01025958003,948
01027958900,2175
01027959000,1062
01027959100,940
01027959200,909
01029959500,879
01029959600,1663
01029959700,1176
01029959800,1535
01031010100,620
01031010200,676
01031010300,1645
01031010400,562
01031010500,1785
01031010600,725
01031010700,833
01031010800,1120
01031010900,747
01031011000,1000
01031011100,604
01031011203,1680
01031011204,1247
01031011205,661
01031011206,879
01031011300,1102
01033020100,1402
01033020200,494
01033020300,731
01033020400,597
01033020500,1857
01033020600,1553
01033020703,1789
01033020704,1441
01033020705,517
01033020706,1805
01033020801,2103
01033020802,1372
01033020901,1392
01033020902,1337
01033021000,1285
01035960200,502
01035960300,649
01035960400,1228
01035960500,581
01035960600,1533
01037961000,1377
01037961100,1443
01037961200,1579
01039961600,1560
01039961700,1266
01039961800,1514
01039961900,762
01039962000,1467
01039962100,356
01039962300,973
01039962400,1453
01039962500,742
01039962600,475
01039962700,463
01039962800,699
01039962900,681
01039963000,1144
01041963400,691
01041963500,690
01041963600,966
01041963700,1174
