tract,county_fips,lat,lon,pop55
01001020100,01001,32.4819731,-86.4915648,597
01001020200,01001,32.475758,-86.4724678,502
01001020300,01001,32.4740243,-86.4597033,1069
01001020400,01001,32.4710304,-86.4448353,1575
01001020501,01001,32.4478607,-86.4225578,1302
01001020502,01001,32.4657357,-86.4188549,731
01001020503,01001,32.475447,-86.4255333,925
01001020600,01001,32.4473399,-86.4768278,1006
01001020700,01001,32.4265973,-86.4432668,774
01001020801,01001,32.4180713,-86.5271273,1112
01001020803,01001,32.5240173,-86.546795,1534
01001020804,01001,32.5027017,-86.4528568,1210
01001020805,01001,32.5576357,-86.430535,862
01001020901,01001,32.651143,-86.4577699,777
01001020902,01001,32.6357135,-86.5634094,1087
01001021000,01001,32.6061376,-86.7489849,695
01001021100,01001,32.4574129,-86.7290029,1598
01003010100,01003,31.1104762,-87.7868713,1254
01003010200,01003,30.9478929,-87.6787306,964
01003010300,01003,30.8412001,-87.8786378,2619
01003010400,01003,30.7200267,-87.6245437,2162
01003010500,01003,30.8969612,-87.7737368,1481
01003010600,01003,30.8533019,-87.7701385,1081
01003010704,01003,30.6477601,-87.8838007,1390
01003010706,01003,30.6803479,-87.8856797,1133
01003010707,01003,30.7544801,-87.9483253,1973
01003010708,01003,30.6836114,-87.8296667,2366
01003010709,01003,30.5788587,-87.8390181,2528
01003010710,01003,30.6604947,-87.9557115,2044
01003010711,01003,30.6389851,-87.8993395,1420
01003010800,01003,30.5939161,-87.9006394,2961
01003010903,01003,30.6072432,-87.7798044,1484
01003010904,01003,30.5640707,-87.5731188,3057
01003010906,01003,30.5641292,-87.6870074,1644
01003010907,01003,30.5259518,-87.7753308,1199
01003010908,01003,30.5433452,-87.7278605,1276
01003011000,01003,30.4896994,-87.6767299,1694
01003011102,01003,30.4799296,-87.8330813,1886
01003011103,01003,30.5296542,-87.8260181,1571
01003011104,01003,30.5127023,-87.8471486,2777
01003011201,01003,30.5408065,-87.891618,2115
01003011202,01003,30.5036849,-87.904561,3468
01003011300,01003,30.4293701,-87.8782358,2965
01003011409,01003,30.428891,-87.7634335,1844
01003011410,01003,30.3607256,-87.7725034,3271
01003011411,01003,30.3244734,-87.618452,2805
01003011412,01003,30.2969777,-87.7128565,1035
01003011413,01003,30.3010739,-87.6607298,1671
01003011414,01003,30.3005888,-87.54179,1468
01003011415,01003,30.2896945,-87.5148942,1493
01003011416,01003,30.2354488,-87.7773475,1053
01003011417,01003,30.2850214,-87.6039237,783
01003011418,01003,30.2632859,-87.6478349,919
01003011419,01003,30.2400973,-87.9263265,2788
01003011501,01003,30.4324484,-87.6790139,3518
01003011503,01003,30.3792229,-87.6939612,3171
01003011504,01003,30.3813973,-87.6380235,3501
01003011601,01003,30.4082096,-87.5555847,2501
01003011603,01003,30.4281978,-87.4296554,1613
01003011604,01003,30.3665744,-87.4873351,1898
01003990000,01003,30.3288009,-87.8829736,0
01005950100,01005,32.0353533,-85.2477678,1121
01005950200,01005,31.9222752,-85.4498308,1047
01005950300,01005,31.7908933,-85.5670514,525
01005950400,01005,31.6794432,-85.5577196,1102
01005950500,01005,31.7634183,-85.2718649,1355
01005950600,01005,31.8783526,-85.2729215,452
01005950700,01005,31.9440855,-85.2620842,665
01005950800,01005,31.9203546,-85.1756308,818
01005950900,01005,31.8559766,-85.1513159,1085
01007010001,01007,33.0791483,-87.1730915,879
01007010005,01007,33.1751505,-87.1427298,1065
01007010006,01007,33.1824141,-87.0823075,313
01007010007,01007,32.8883969,-86.9477291,815
01007010008,01007,33.0332174,-87.0211228,1185
01007010009,01007,32.8945208,-87.1921653,699
01007010010,01007,32.9784509,-87.1866443,838
01007010011,01007,32.955222,-87.321793,976
01009050103,01009,33.8656656,-86.5073198,630
01009050104,01009,33.9346212,-86.5518366,1079
01009050105,01009,33.9749736,-86.4037827,1833
01009050106,01009,33.925327,-86.4725259,890
01009050107,01009,33.88481,-86.4069536,1052
01009050200,01009,33.9974352,-86.544238,1220
01009050301,01009,34.1400655,-86.3531063,858
01009050302,01009,34.0463998,-86.3847326,1138
01009050400,01009,34.1660342,-86.4971736,1606
01009050501,01009,34.062471,-86.6104394,979
01009050502,01009,33.9958792,-86.6840888,1092
01009050601,01009,33.8702666,-86.8934341,1130
01009050603,01009,33.8778489,-86.741815,775
01009050604,01009,33.9153019,-86.7903651,1724
01009050701,01009,33.8055206,-86.6285786,2212
01009050702,01009,33.8739997,-86.6773768,956
01011952100,01011,32.1157274,-85.5267341,409
01011952201,01011,32.1732854,-85.7777131,625
01011952202,01011,32.1384894,-85.649468,1295
01011952500,01011,32.0821273,-85.8274935,863
01013952700,01013,31.8946556,-86.5914052,967
01013952800,01013,31.8377094,-86.6283263,448
01013952900,01013,31.8483349,-86.6763242,627
01013953000,01013,31.8617983,-86.7608112,376
01013953100,01013,31.7967889,-86.6542667,891
01013953200,01013,31.7820079,-86.5213679,1067
01013953300,01013,31.7163243,-86.7533225,721
01013953400,01013,31.6017378,-86.8165798,825
01013953500,01013,31.575083,-86.6086952,587
01015000200,01015,33.6737915,-85.8165597,571
01015000300,01015,33.6759496,-85.8313606,798
01015000400,01015,33.6820547,-85.8686849,1211
01015000500,01015,33.6627134,-85.8452306,485
01015000600,01015,33.642233,-85.8412035,502
01015000700,01015,33.7077538,-85.7919352,835
01015000800,01015,33.645471,-85.8270598,580
01015000900,01015,33.6449078,-85.7965197,1655
01015001000,01015,33.6345617,-85.7901308,2032
01015001101,01015,33.5896413,-85.7694025,509
01015001102,01015,33.6078278,-85.8121438,128
01015001103,01015,33.5897336,-85.817363,1686
01015001201,01015,33.6084159,-85.8515466,831
01015001202,01015,33.6101723,-85.8786386,1187
01015001300,01015,33.6445961,-85.8731746,534
01015001400,01015,33.6599004,-85.8895413,1106
01015001501,01015,33.6129884,-85.9294348,1092
01015001502,01015,33.661622,-86.0167644,478
01015001600,01015,33.6981993,-85.8638068,1250
01015001700,01015,33.7278369,-85.8444202,1508
01015001801,01015,33.7631952,-85.7668,625
01015001802,01015,33.7646067,-85.8234566,1416
01015002001,01015,33.7758357,-85.6423276,660
01015002002,01015,33.7306605,-85.7072614,1572
01015002101,01015,33.8370579,-85.772778,461
01015002102,01015,33.8366205,-85.7375247,1158
01015002104,01015,33.804147,-85.7760186,1059
01015002105,01015,33.7877369,-85.734951,954
01015002200,01015,33.8952638,-85.5983598,1437
01015002300,01015,33.9376551,-85.6715535,933
01015002400,01015,33.8794959,-85.7733429,1632
01015002502,01015,33.8908485,-85.8860424,1526
01015002503,01015,33.7823094,-85.870404,1154
01015002504,01015,33.7818715,-85.930842,848
01015002600,01015,33.7687614,-86.0372364,1681
01015981901,01015,33.6467452,-85.9690161,0
01015981902,01015,33.7188196,-85.9523544,0
01015981903,01015,33.7072288,-85.7502859,0
01017953800,01017,33.030258,-85.386788,1639
01017953900,01017,32.9119527,-85.2738384,1067
01017954001,01017,32.845276,-85.52493,764
01017954002,01017,32.8888896,-85.3844111,1914
01017954200,01017,32.8341436,-85.2678516,1403
01017954300,01017,32.7766468,-85.2734917,1490
01017954600,01017,32.8362591,-85.1725802,989
01017954700,01017,32.7702191,-85.1744682,1086
01017954800,01017,32.8528326,-85.2084798,1561
01019955701,01019,34.2288794,-85.5178543,1413
01019955702,01019,34.3569596,-85.5688477,1358
01019955801,01019,34.1330385,-85.7707945,688
01019955802,01019,34.2483434,-85.7147199,1142
01019955900,01019,34.0328522,-85.6828498,1464
01019956000,01019,34.1660879,-85.6541706,2258
01019956101,01019,34.0581225,-85.4772397,802
01019956102,01019,34.0708655,-85.531749,878
01021060101,01021,32.8154498,-86.6415349,1269
01021060103,01021,32.8739568,-86.6718517,1017
01021060104,01021,32.8495954,-86.616669,1064
01021060200,01021,32.8587949,-86.5491633,678
01021060300,01021,32.9709197,-86.6061792,1071
01021060401,01021,32.9251623,-86.7276967,1645
01021060403,01021,33.0233128,-86.7568332,749
01021060404,01021,32.9906895,-86.8314859,1469
01021060500,01021,32.7689869,-86.8954642,1255
01021060600,01021,32.7727303,-86.7363808,1706
01021060701,01021,32.7469087,-86.6018649,724
01021060702,01021,32.7670028,-86.4640203,1107
01023956700,01023,32.2741758,-88.2150406,1252
01023956800,01023,32.0655014,-88.2127523,1703
01023956900,01023,31.9403128,-88.3445099,1277
01023957000,01023,31.759107,-88.3016638,755
01025957500,01025,31.7929013,-87.6425154,671
01025957601,01025,31.8884818,-87.8913637,265
01025957603,01025,31.8683942,-87.7539624,534
01025957604,01025,31.9125392,-87.6953045,668
01025957700,01025,31.8391651,-88.0579345,566
01025957800,01025,31.6170174,-87.6979772,1742
01025957901,01025,31.6379289,-87.9598566,1113
01025957902,01025,31.5011616,-87.8723338,1459
01025958003,01025,31.3971096,-87.8189204,948
01027958900,01027,33.3872783,-85.7690615,2175
01027959000,01027,33.3093759,-85.8820883,1062
01027959100,01027,33.1785156,-85.7815679,940
01027959200,01027,33.1775316,-86.0216103,909
01029959500,01029,33.8207588,-85.4723231,879
01029959600,01029,33.6989979,-85.5727972,1663
01029959700,01029,33.5592976,-85.642824,1176
01029959800,01029,33.5729827,-85.396107,1535
01031010100,01031,31.5629467,-86.0563149,620
01031010200,01031,31.5375844,-85.8984006,676
