nct_id,cancer_type,cancer_type_label,multi_subtype,categories_matched,generic_listed,source
NCT04947254,prostate,Prostate,,prostate,0,conditions
NCT06445166,multi,Multiple cancer types / basket or umbrella,multiple named cancers,other_named;sarcoma,0,conditions
NCT03715933,multi,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;sarcoma,0,conditions
NCT07582432,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma;myeloma,0,conditions
NCT05686798,brain_cns,Brain & CNS,,brain_cns,1,conditions
NCT07226544,kidney,Kidney,,kidney,0,conditions
NCT06843967,sarcoma,Sarcoma,,sarcoma,0,conditions
NCT06792734,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT07601243,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT04511039,multi,Multiple cancer types / basket or umbrella,multiple named cancers,colorectal;gastric_esophageal,1,conditions
NCT04634357,liver_biliary,Liver & biliary,,liver_biliary,0,conditions
NCT07539441,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT06900595,neuroendocrine_endocrine,Neuroendocrine & endocrine,,neuroendocrine_endocrine,0,conditions
NCT04520139,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT05661201,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07266441,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT04959903,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT04812366,prostate,Prostate,,prostate,0,conditions
NCT05570253,breast,Breast,,breast,0,conditions
NCT05818683,prostate,Prostate,,prostate,0,conditions
NCT06708754,head_neck,Head & neck,,head_neck,0,conditions
NCT04510051,brain_cns,Brain & CNS,,brain_cns,1,conditions
NCT06253130,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06972875,prostate,Prostate,,prostate,0,conditions
NCT06153251,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT06911502,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT06790602,pancreatic,Pancreatic,,pancreatic,0,conditions
NCT04792502,lymphoma,Lymphoma,,lymphoma,0,conditions
NCT07356245,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
NCT04678401,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;mds_mpn,0,conditions
NCT02356653,leukemia,Leukemia,,leukemia,0,conditions
NCT07107230,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT07218666,prostate,Prostate,,prostate,0,conditions
NCT06488222,bladder_urothelial,Bladder & urothelial,,bladder_urothelial,0,conditions
NCT05197881,gynecologic,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,0,conditions
NCT06186401,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT06424067,lung,Lung & thoracic,,lung,0,conditions
NCT07535437,lung,Lung & thoracic,,lung,0,conditions
NCT06428045,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT05674175,multi,Multiple cancer types / basket or umbrella,multiple named cancers,leukemia;lymphoma,0,conditions
NCT03067181,multi,Multiple cancer types / basket or umbrella,multiple named cancers,gynecologic;other_named,1,conditions
NCT05303519,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT07070232,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT03833921,prostate,Prostate,,prostate,0,conditions
NCT04897321,multi,Multiple cancer types / basket or umbrella,multiple named cancers,kidney;liver_biliary;melanoma_skin;neuroendocrine_endocrine;other_named;sarcoma,1,conditions
NCT06896916,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
NCT04308330,multi,Multiple cancer types / basket or umbrella,multiple named cancers,kidney;liver_biliary;other_named;sarcoma,0,conditions
NCT05864534,brain_cns,Brain & CNS,,brain_cns,0,conditions
NCT04598009,melanoma_skin,Melanoma & skin,,melanoma_skin,0,conditions
NCT06163430,leukemia,Leukemia,,leukemia,0,conditions
NCT05842044,kidney,Kidney,,kidney,0,conditions
NCT04804007,multi,Multiple cancer types / basket or umbrella,multiple named cancers,gynecologic;other_named,0,conditions
NCT04253964,lung,Lung & thoracic,,lung,0,conditions
NCT07271667,leukemia,Leukemia,,leukemia,1,conditions
NCT02390518,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT06656390,multi,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,1,conditions
NCT02343042,myeloma,Myeloma & plasma cell,,myeloma,0,conditions
