nct_id,facility,city,state_fips,state,zip,site_status
NCT04947254,M D Anderson Cancer Center,Houston,48,TX,77030,RECRUITING
NCT06445166,Washington University School of Medicine,St Louis,29,MO,63110,RECRUITING
NCT03715933,Precision NextGen Oncology and Research,Beverly Hills,06,CA,90212,RECRUITING
NCT03715933,City of Hope,Duarte,06,CA,91010,RECRUITING
NCT03715933,Valkyrie Clinical Trials,Los Angeles,06,CA,90067,RECRUITING
NCT03715933,Children's Hospital of Orange County-Rady Children's Health,Orange,06,CA,92868,RECRUITING
NCT03715933,"University of California, San Francisco (UCSF)",San Francisco,06,CA,94110,RECRUITING
NCT03715933,Sarcoma Oncology Center,Santa Monica,06,CA,90403,RECRUITING
NCT03715933,University of Colorado Hospital,Aurora,08,CO,80045,RECRUITING
NCT03715933,Emory University - Winship Cancer Institute,Atlanta,13,GA,30322,RECRUITING
NCT03715933,University of Michigan,Ann Arbor,26,MI,48109,RECRUITING
NCT03715933,"START Midwest Michigan, PC",Grand Rapids,26,MI,49546,RECRUITING
NCT03715933,David H. Koch Center for Cancer Care at Memorial Sloan Kettering Cancer Center,New York,36,NY,10021,RECRUITING
NCT03715933,Cincinnati Children's Hospital Medical Center,Cincinnati,39,OH,45229,RECRUITING
NCT03715933,Oregon Health & Science University,Portland,41,OR,97239,RECRUITING
NCT03715933,Children's Hospital of Philadelphia- Center for Childhood Cancer Research,Philadelphia,42,PA,19104,RECRUITING
NCT03715933,University of Pennsylvania Abramson Cancer Center,Philadelphia,42,PA,19106,RECRUITING
NCT03715933,Vanderbilt University School of Medicine,Nashville,47,TN,37232,RECRUITING
NCT03715933,UT MD Anderson Cancer Center,Houston,48,TX,77030,RECRUITING
NCT03715933,University of Virginia,Charlottesville,51,VA,22903,RECRUITING
NCT03715933,NEXT Oncology - Virginia,Fairfax,51,VA,22031,RECRUITING
NCT07582432,Study Site 101,Fort Wayne,18,IN,46894,RECRUITING
NCT05686798,Henry Ford Health System,Detroit,26,MI,48202,RECRUITING
NCT07153614,University of Tennessee Graduate School of Medicine,Knoxville,47,TN,37920,RECRUITING
NCT07226544,City of Hope Medical Center,Duarte,06,CA,91010,RECRUITING
NCT06843967,Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities),Basking Ridge,34,NJ,07920,RECRUITING
NCT06843967,Memorial Sloan Kettering Monmouth (Limited Protocol Activities),Middletown,34,NJ,07748,RECRUITING
NCT06843967,Memorial Sloan Kettering Bergen (Limited Protocol Activities),Montvale,34,NJ,07645,RECRUITING
NCT06843967,Memorial Sloan Kettering Cancer Center Suffolk- Commack (Limited Protocol Activities),Commack,36,NY,11725,RECRUITING
NCT06843967,Memorial Sloan Kettering Westchester (Limited Protocol Activities),Harrison,36,NY,10604,RECRUITING
NCT06843967,Memorial Sloan Kettering Cancer Center (All Protocol Activities),New York,36,NY,10065,RECRUITING
NCT06843967,Memorial Sloan Kettering Nassau (Limited Protocol Activities),Uniondale,36,NY,11553,RECRUITING
NCT06792734,"Levine Cancer Institute, Atrium Health",Charlotte,37,NC,28204,RECRUITING
NCT06792734,MD Anderson Cancer Center,Houston,48,TX,77030,RECRUITING
NCT07601243,START Midwest,Grand Rapids,26,MI,49546,RECRUITING
NCT07601243,"START Astera, LLC",East Brunswick,34,NJ,08816,RECRUITING
NCT07601243,Memorial Sloan Kettering Cancer Center,New York,36,NY,10065,RECRUITING
NCT07601243,"START San Antonio, LLC",San Antonio,48,TX,78229,RECRUITING
NCT04511039,Roswell Park Cancer Institute,Buffalo,36,NY,14263,RECRUITING
NCT04634357,Children's Hospital Los Angeles,Los Angeles,06,CA,90027,RECRUITING
NCT04634357,Children's Hospital Orange County,Orange,06,CA,92868,RECRUITING
NCT04634357,UCSF Benioff Children's Hospitals,San Francisco,06,CA,94158,RECRUITING
NCT04634357,Dana-Farber/Boston Children's Cancer and Blood Disorders Center,Boston,25,MA,02215,RECRUITING
NCT06143631,"University of California, Los Angeles",Los Angeles,06,CA,90095,RECRUITING
NCT06143631,"University of California, San Francisco",San Francisco,06,CA,94115,RECRUITING
NCT06143631,Mayo Clinic,Rochester,27,MN,55905,RECRUITING
NCT06143631,University of Mississippi Medical Center,Jackson,28,MS,39216,RECRUITING
NCT06143631,Duke University,Durham,37,NC,27710,RECRUITING
NCT07539441,Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities),Basking Ridge,34,NJ,07920,RECRUITING
NCT07539441,Memorial Sloan Kettering Monmouth (Limited protocol activities),Middletown,34,NJ,07748,RECRUITING
NCT07539441,Memorial Sloan Kettering Bergen (Limited Protocol Activities),Montvale,34,NJ,07645,RECRUITING
NCT07539441,Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities),Commack,36,NY,11725,RECRUITING
NCT07539441,Memorial Sloan Kettering Westchester (Limited Protocol Activities),Harrison,36,NY,10604,RECRUITING
NCT07539441,Memorial Sloan Kettering Cancer Center (All Protocol Activities),New York,36,NY,10065,RECRUITING
NCT07539441,Memorial Sloan Kettering Nassau (Limited Protocol Activities),Rockville Centre,36,NY,11570,RECRUITING
NCT06900595,Mayo Clinic Hospital in Arizona,Phoenix,04,AZ,85054,RECRUITING
NCT06900595,UC San Diego Moores Cancer Center,La Jolla,06,CA,92093,RECRUITING
NCT06900595,Valley Children's Hospital,Madera,06,CA,93636,RECRUITING
NCT06900595,UCHealth University of Colorado Hospital,Aurora,08,CO,80045,RECRUITING
NCT06900595,Mayo Clinic in Florida,Jacksonville,12,FL,32224-9980,RECRUITING
NCT06900595,Lurie Children's Hospital-Chicago,Chicago,17,IL,60611,RECRUITING
NCT06900595,Northwestern University,Chicago,17,IL,60611,RECRUITING
NCT06900595,Carle at The Riverfront,Danville,17,IL,61832,RECRUITING
NCT06900595,Northwestern Medicine Cancer Center Kishwaukee,DeKalb,17,IL,60115,RECRUITING
NCT06900595,Carle Physician Group-Effingham,Effingham,17,IL,62401,RECRUITING
NCT06900595,Northwestern Medicine Cancer Center Delnor,Geneva,17,IL,60134,RECRUITING
NCT06900595,Northwestern Medicine Glenview Outpatient Center,Glenview,17,IL,60026,RECRUITING
NCT06900595,Northwestern Medicine Grayslake Outpatient Center,Grayslake,17,IL,60030,RECRUITING
NCT06900595,Northwestern Medicine Lake Forest Hospital,Lake Forest,17,IL,60045,RECRUITING
NCT06900595,Carle Physician Group-Mattoon/Charleston,Mattoon,17,IL,61938,RECRUITING
