zcta,lat,lon,pop55,pop_total
00601,18.180555,-66.749961,6209.0,16721.0
00602,18.361945,-67.175597,14392.0,37510.0
00603,18.457399,-67.124867,18457.0,48317.0
00606,18.158327,-66.932928,2286.0,5435.0
00610,18.295304,-67.12518,9286.0,25413.0
00611,18.276316,-66.807165,688.0,1522.0
00612,18.416727,-66.70009,23386.0,62462.0
00616,18.420408,-66.671986,3518.0,9836.0
00617,18.446889,-66.561154,7392.0,22699.0
00622,17.988103,-67.160357,3391.0,7950.0
00623,18.084371,-67.158765,14166.0,39005.0
00624,18.051808,-66.721711,6874.0,21374.0
00627,18.412423,-66.863708,11933.0,32753.0
00631,18.184294,-66.830795,507.0,1357.0
00636,18.1636,-67.080097,239.0,1071.0
00637,18.080103,-66.947975,8619.0,22884.0
00638,18.280188,-66.513111,6997.0,17410.0
00641,18.268074,-66.701785,9385.0,23962.0
00646,18.432897,-66.286499,11381.0,36099.0
00647,17.963613,-66.947127,1870.0,4611.0
00650,18.349209,-66.578112,4581.0,13457.0
00652,18.448446,-66.594111,1547.0,4492.0
00653,17.988642,-66.90169,3224.0,8665.0
00656,18.040467,-66.78968,6605.0,17815.0
00659,18.407304,-66.808995,13677.0,37203.0
00660,18.134695,-67.116199,6583.0,15439.0
00662,18.468301,-67.015749,14506.0,40705.0
00664,18.21033,-66.591616,4833.0,14816.0
00667,18.003422,-67.03581,9288.0,23116.0
00669,18.276925,-66.869587,10261.0,27534.0
00670,18.233585,-66.987585,3200.0,8553.0
00674,18.424145,-66.487895,14838.0,39288.0
00676,18.381597,-67.080884,12571.0,36836.0
00677,18.332568,-67.227022,6436.0,15432.0
00678,18.430503,-66.930479,9228.0,24848.0
00680,18.183493,-67.133054,17626.0,42817.0
00682,18.224864,-67.153891,9799.0,29939.0
00683,18.1078,-67.037263,12104.0,29431.0
00685,18.336887,-66.972929,15694.0,40323.0
00687,18.318017,-66.420392,9408.0,28534.0
00688,18.382305,-66.626393,3771.0,10985.0
00690,18.493543,-67.096915,1752.0,6275.0
00692,18.410652,-66.336202,10948.0,32717.0
00693,18.425961,-66.398098,20043.0,55725.0
00694,18.483127,-66.39236,113.0,125.0
00698,18.072916,-66.85119,12931.0,32945.0
00703,18.248401,-66.130662,8709.0,24642.0
00704,17.973168,-66.229011,1720.0,6433.0
00705,18.12896,-66.266691,9697.0,24475.0
00707,18.014055,-65.920751,4194.0,10400.0
00714,17.995867,-66.055529,5322.0,15573.0
