zip3,county_fips
010,25013
011,25013
012,25003
013,25011
014,25027
015,25027
016,25027
017,25017
018,25017
019,25009
020,25021
021,25025
022,25025
023,25023
024,25017
025,25001
026,25001
027,25005
028,44007
029,44007
030,33011
031,33011
032,33013
033,33013
034,33005
035,33007
036,33019
037,33009
038,33003
039,23031
040,23005
041,23005
042,23017
043,23011
044,23019
045,23015
046,23009
047,23003
048,23013
049,23025
050,50027
051,50027
052,50003
053,50025
054,50007
056,50023
057,50021
058,50019
059,50009
060,09003
061,09003
062,09015
063,09011
064,09007
065,09009
066,09001
067,09005
068,09001
069,09001
070,34013
071,34013
072,34039
073,34017
074,34003
075,34031
076,34003
077,34025
078,34027
079,34027
080,34007
081,34007
082,34009
083,34011
084,34001
085,34021
086,34021
087,34029
088,34023
089,34023
100,36061
101,36061
102,36061
103,36085
104,36005
105,36119
106,36119
107,36119
108,36119
109,36071
110,36059
111,36081
112,36047
113,36081
114,36081
115,36059
116,36081
117,36103
118,36059
119,36103
120,36001
121,36083
122,36001
123,36093
124,36111
125,36027
126,36027
127,36105
128,36113
129,36019
130,36067
131,36075
132,36067
133,36065
134,36065
135,36065
136,36089
137,36025
138,36077
139,36007
140,36029
141,36029
142,36029
143,36063
144,36051
145,36117
146,36055
147,36013
148,36101
149,36015
150,42003
151,42003
152,42003
153,42125
154,42051
155,42111
156,42129
157,42063
158,42047
159,42021
160,42019
161,42085
162,42005
163,42121
164,42049
165,42049
166,42013
167,42083
168,42027
169,42117
170,42075
171,42043
172,42055
173,42133
174,42133
175,42071
176,42071
177,42081
178,42097
179,42107
180,42077
181,42077
182,42079
183,42089
184,42127
185,42069
186,42079
187,42079
188,42115
189,42017
190,42045
191,42101
193,42029
194,42091
195,42011
196,42011
197,10003
198,10003
199,10005
200,11001
201,51107
202,11001
203,11001
204,11001
205,11001
206,24037
207,24033
208,24031
209,24031
210,24025
211,24005
212,24510
214,24003
215,24001
216,24041
217,24021
218,24045
219,24015
220,51059
221,51059
222,51013
223,51059
224,51133
225,51033
226,51069
227,51113
228,51165
229,51003
230,51115
231,51097
232,51087
233,51001
234,51001
235,51710
236,51650
237,51740
238,51025
239,51117
240,51770
241,51071
242,51195
243,51035
244,51015
245,51143
246,51185
247,54055
248,54047
249,54025
250,54039
251,54039
252,54035
253,54039
254,54003
255,54043
256,54045
257,54011
258,54081
259,54019
260,54051
261,54107
262,54083
263,54033
264,54033
265,54049
266,54067
267,54027
268,54031
270,37169
271,37067
272,37081
273,37081
274,37081
275,37183
276,37183
277,37063
278,37131
279,37053
280,37071
281,37179
282,37119
283,37051
284,37047
285,37031
286,37193
287,37089
288,37021
289,37039
290,45063
291,45075
292,45079
293,45083
294,45019
295,45051
296,45045
297,45091
298,45003
299,45013
300,13089
301,13045
302,13077
303,13121
304,13107
